"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9432",661153535782451840,1532,"rental","Sisli",4,1,3,2,4.7,10,2,"f","1","1","1","0","0","1","0","0","0","0","0"
"9433",661256333036425728,1812,"rental","Beyoglu",3,1,3,2,5,7,1,"t","1","1","1","0","0","1","0","0","0","0","0"
"9434",661257862041105664,2297,"rental","Fatih",6,1,3,3,4.67,3,2,"t","1","1","1","0","0","1","0","0","0","0","0"
"9435",661259339417672576,2857,"apartment","Beyoglu",4,1,1,2,5,2,1,"t","1","1","1","0","0","1","0","0","1","0","0"
"9436",661265319597860096,1310,"rental","Fatih",2,1,2,1,4.83,0,1,"t","1","0","1","0","0","0","0","0","0","0","0"
"9437",661270601399144960,1310,"rental","Fatih",2,1,2,1,4,1,1,"t","1","1","1","0","0","0","0","0","0","0","0"
"9438",661274587025150208,1310,"rental","Fatih",2,1,2,1,5,3,1,"t","1","1","1","0","0","0","0","0","0","0","0"
"9439",661283010424325632,973,"rental","Fatih",2,1,2,1,4.83,0,1,"t","1","1","1","0","0","0","0","0","0","0","0"
"9440",661285483381642752,900,"rental","Fatih",4,1,3,2,4.9,21,2,"f","1","0","1","0","0","1","0","0","0","0","0"
"9441",661303112763075840,1591,"apartment","Basaksehir",4,1,2,1,4.67,6,1,"f","1","1","1","0","0","1","1","0","1","0","0"
"9442",661323563855622272,1036,"rental","Uskudar",3,1,15,3,4.5,2,2,"f","1","0","0","0","0","0","0","0","0","0","0"
"9443",661338996737448320,2100,"rental","Basaksehir",3,1,1,3,1,1,1,"f","0","0","0","0","0","0","0","0","0","0","0"
"9444",661359525475197056,641,"rental","Atasehir",2,1,2,1,4.4,10,1,"f","1","1","0","1","0","1","1","0","1","0","0"
"9445",661368154987528960,1129,"rental","Adalar",4,1,1,3,4.85,13,2,"f","1","1","0","1","1","1","0","0","1","1","0"
"9446",661414355944670592,1714,"rental","Beyoglu",4,1,1,2,4,4,1,"t","1","0","0","0","0","0","1","0","0","0","0"
